CVE-2006-0743,2022-05-01T06:42:27Z,"Apache log4net format string vulnerability causes DoS",log4net,0,1.2.10,MODERATE,CWE-134
CVE-2016-7190,2022-05-14T02:22:45Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,,HIGH,CWE-119
CVE-2016-7194,2022-05-14T02:22:45Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,,HIGH,CWE-119
CVE-2016-7200,2022-05-14T02:22:42Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.2,HIGH,CWE-119;CWE-787
CVE-2016-7201,2022-05-14T02:22:42Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.2,HIGH,CWE-119;CWE-843
CVE-2016-7202,2022-05-14T02:22:42Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.2,HIGH,CWE-119
CVE-2016-7203,2022-05-14T02:22:42Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.2,HIGH,CWE-119
CVE-2016-7208,2022-05-14T02:22:41Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.2,HIGH,CWE-119
CVE-2016-7240,2022-05-14T02:22:18Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.2,HIGH,CWE-119
CVE-2016-7242,2022-05-14T02:22:18Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.2,HIGH,CWE-119
CVE-2016-7243,2022-05-14T02:22:17Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.2,HIGH,CWE-119
CVE-2017-0208,2022-05-17T02:32:54Z,"ChakraCore information disclosure vulnerability",Microsoft.ChakraCore,0,1.4.3,MODERATE,CWE-200
CVE-2017-0223,2022-05-17T02:35:05Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.4.4,CRITICAL,CWE-119
CVE-2017-0224,2022-05-17T02:44:22Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.4.4,HIGH,CWE-119
CVE-2017-0234,2022-05-17T02:35:00Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.4.4,HIGH,CWE-119
CVE-2017-0235,2022-05-17T02:44:21Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.4.4,HIGH,CWE-119
CVE-2017-0236,2022-05-17T02:34:59Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.4.4,HIGH,CWE-119
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Abstractions",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Abstractions",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.ApiExplorer",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.ApiExplorer",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Core",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Core",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Cors",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Cors",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.DataAnnotations",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.DataAnnotations",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Formatters.Json",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Formatters.Json",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Formatters.Xml",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Formatters.Xml",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Localization",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Localization",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Razor",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Razor",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Razor.Host",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.Razor.Host",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.TagHelpers",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.TagHelpers",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.ViewFeatures",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.ViewFeatures",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.WebApiCompatShim",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","Microsoft.AspNetCore.Mvc.WebApiCompatShim",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","System.Net.Http.WinHttpHandler",4.0.0,4.0.1,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","System.Net.Http.WinHttpHandler",4.3.0,4.5.4,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","System.Net.WebSockets.Client",4.0.0,4.0.1,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","System.Net.WebSockets.Client",4.3.0,4.3.1,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","System.Text.Encodings.Web",4.0.0,4.0.1,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests","System.Text.Encodings.Web",4.3.0,4.3.1,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests",Microsoft.AspNetCore.Mvc,1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests",Microsoft.AspNetCore.Mvc,1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests",System.Net.Http,4.1.1,4.1.2,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests",System.Net.Http,4.3.1,4.3.2,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests",System.Net.Security,4.0.0,4.0.1,HIGH,CWE-20
CVE-2017-0247,2018-10-16T19:58:05Z,"ASP.NET Core fails to properly validate web requests",System.Net.Security,4.3.0,4.3.1,HIGH,CWE-20
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Abstractions",1.0.0,1.0.4,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Abstractions",1.1.0,1.1.3,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.ApiExplorer",1.0.0,1.0.4,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.ApiExplorer",1.1.0,1.1.3,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Core",1.0.0,1.0.4,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Core",1.1.0,1.1.3,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Cors",1.0.0,1.0.4,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Cors",1.1.0,1.1.3,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.DataAnnotations",1.0.0,1.0.4,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.DataAnnotations",1.1.0,1.1.3,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Formatters.Json",1.0.0,1.0.4,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Formatters.Json",1.1.0,1.1.3,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Formatters.Xml",1.0.0,1.0.4,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Formatters.Xml",1.1.0,1.1.3,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Localization",1.0.0,1.0.4,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Localization",1.1.0,1.1.3,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Razor",1.0.0,1.0.4,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Razor",1.1.0,1.1.3,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Razor.Host",1.0.0,1.0.4,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.Razor.Host",1.1.0,1.1.3,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.TagHelpers",1.0.0,1.0.4,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.TagHelpers",1.1.0,1.1.3,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.ViewFeatures",1.0.0,1.0.4,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.ViewFeatures",1.1.0,1.1.3,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.WebApiCompatShim",1.0.0,1.0.4,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","Microsoft.AspNetCore.Mvc.WebApiCompatShim",1.1.0,1.1.3,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","System.Net.Http.WinHttpHandler",4.0.0,4.0.1,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","System.Net.Http.WinHttpHandler",4.3.0,4.3.1,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","System.Net.WebSockets.Client",4.0.0,4.0.1,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","System.Net.WebSockets.Client",4.3.0,4.3.1,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","System.Text.Encodings.Web",4.0.0,4.0.1,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core","System.Text.Encodings.Web",4.3.0,4.3.1,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core",Microsoft.AspNetCore.Mvc,1.0.0,1.0.4,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core",Microsoft.AspNetCore.Mvc,1.1.0,1.1.3,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core",System.Net.Http,4.1.1,4.1.2,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core",System.Net.Http,4.3.1,4.3.2,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core",System.Net.Security,4.0.0,4.0.1,MODERATE,CWE-295
CVE-2017-0248,2018-10-16T19:58:52Z,"Moderate severity vulnerability that affects Microsoft.AspNetCore.Mvc and Microsoft.AspNetCore.Mvc.Core",System.Net.Security,4.3.0,4.3.1,MODERATE,CWE-295
CVE-2017-0249,2018-10-16T19:57:38Z,"High severity vulnerability that affects Microsoft.AspNetCore.Mvc","Microsoft.AspNetCore.Mvc.Abstractions",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0249,2018-10-16T19:57:38Z,"High severity vulnerability that affects Microsoft.AspNetCore.Mvc","Microsoft.AspNetCore.Mvc.Abstractions",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0249,2018-10-16T19:57:38Z,"High severity vulnerability that affects Microsoft.AspNetCore.Mvc","Microsoft.AspNetCore.Mvc.ApiExplorer",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0249,2018-10-16T19:57:38Z,"High severity vulnerability that affects Microsoft.AspNetCore.Mvc","Microsoft.AspNetCore.Mvc.ApiExplorer",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0249,2018-10-16T19:57:38Z,"High severity vulnerability that affects Microsoft.AspNetCore.Mvc","Microsoft.AspNetCore.Mvc.Core",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0249,2018-10-16T19:57:38Z,"High severity vulnerability that affects Microsoft.AspNetCore.Mvc","Microsoft.AspNetCore.Mvc.Core",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0249,2018-10-16T19:57:38Z,"High severity vulnerability that affects Microsoft.AspNetCore.Mvc","Microsoft.AspNetCore.Mvc.Cors",1.0.0,1.0.4,HIGH,CWE-20
CVE-2017-0249,2018-10-16T19:57:38Z,"High severity vulnerability that affects Microsoft.AspNetCore.Mvc","Microsoft.AspNetCore.Mvc.Cors",1.1.0,1.1.3,HIGH,CWE-20
CVE-2017-0249,2018-10-16T19:57:38Z,"High severity vulnerability that affects Microsoft.AspNetCore.Mvc","Microsoft.AspNetCore.Mvc.DataAnnotations",1.0.0,1.0.4,HIGH,CWE-20
